Position,Cost,Asset
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
14.8692,750.0000,750.0000
14.8692,750.0000,758.3267
14.8692,750.0000,765.1665
14.8692,750.0000,763.9770
14.8692,750.0000,766.6534
25.5860,1306.8497,1329.4508
25.5860,1306.8497,1333.8005
25.5860,1306.8497,1339.9411
25.5860,1306.8497,1330.9860
25.5860,1306.8497,1337.8942
44.5183,2306.8497,2351.4548
44.5183,2306.8497,2351.4548
44.5183,2306.8497,2359.9133
44.5183,2306.8497,2357.6874
44.5183,2306.8497,2368.3718
44.5183,2306.8497,2330.9764
44.5183,2306.8497,2294.9166
44.5183,2306.8497,2280.6708
44.5183,2306.8497,2300.7040
63.6314,3306.8497,3329.1957
63.6314,3306.8497,3336.8315
63.6314,3306.8497,3267.4732
63.6314,3306.8497,3317.1057
63.6314,3306.8497,3350.1941
82.6392,4306.8497,4347.6488
82.6392,4306.8497,4266.6624
82.6392,4306.8497,4273.2735
82.6392,4306.8497,4212.1205
82.6392,4306.8497,4169.1481
102.3320,5306.8497,5196.4191
102.3320,5306.8497,5054.1776
102.3320,5306.8497,5089.9938
102.3320,5306.8497,5087.9471
102.3320,5306.8497,5114.5535
122.3160,6306.8497,6120.6934
122.3160,6306.8497,6153.7187
122.3160,6306.8497,6110.9081
122.3160,6306.8497,6214.8767
122.3160,6306.8497,6296.8284
141.6696,7306.8497,7320.0685
141.6696,7306.8497,7232.2333
141.6696,7306.8497,7355.4859
141.6696,7306.8497,7341.3189
141.6696,7306.8497,7400.8202
160.8451,8306.8497,8388.0699
160.8451,8306.8497,8322.1234
160.8451,8306.8497,8380.0276
160.8451,8306.8497,8333.3826
160.8451,8306.8497,8368.7685
180.1687,9306.8497,9323.7319
180.1687,9306.8497,9213.8289
180.1687,9306.8497,9260.6728
180.1687,9306.8497,9206.6222
180.1687,9306.8497,9219.2340
199.8693,10306.8497,10145.3648
199.8693,10306.8497,10203.3269
199.8693,10306.8497,10421.1844
199.8693,10306.8497,10573.0851
218.7908,11306.8497,11563.0916
218.7908,11306.8497,11613.4135
218.7908,11306.8497,11670.2991
218.7908,11306.8497,11692.1782
218.7908,11306.8497,11687.8024
237.4614,12306.8497,12718.4331
237.4614,12306.8497,12668.5662
237.4614,12306.8497,12621.0739
237.4614,12306.8497,12533.2132
237.4614,12306.8497,12651.9439
256.3258,13306.8497,13587.8293
256.3258,13306.8497,13657.0372
256.3258,13306.8497,13710.8657
256.3258,13306.8497,13590.3925
256.3258,13306.8497,13682.6698
275.3300,14306.8497,14487.8622
275.3300,14306.8497,14229.0521
275.3300,14306.8497,14325.4176
275.3300,14306.8497,14509.8886
275.3300,14306.8497,14490.6155
294.7211,15306.8497,15198.7658
294.7211,15306.8497,15222.3435
294.7211,15306.8497,15072.0357
294.7211,15306.8497,15104.4550
294.7211,15306.8497,15269.4988
294.7211,15306.8497,15464.0147
294.7211,15306.8497,15531.8006
294.7211,15306.8497,15257.7100
294.7211,15306.8497,15086.7718
314.3713,16306.8497,15998.3555
314.3713,16306.8497,15944.9123
314.3713,16306.8497,15841.1698
314.3713,16306.8497,15765.7207
314.3713,16306.8497,15715.4213
334.5815,17306.8497,16555.0919
334.5815,17306.8497,16675.5413
334.5815,17306.8497,16598.5875
334.5815,17306.8497,16451.3717
334.5815,17306.8497,16511.5963
355.1322,18306.8497,17280.7351
355.1322,18306.8497,17479.6092
355.1322,18306.8497,17717.5478
355.1322,18306.8497,17472.5065
355.1322,18306.8497,17745.9583
375.3793,19306.8497,18539.9816
375.3793,19306.8497,18855.3002
375.3793,19306.8497,19136.8347
375.3793,19306.8497,19238.1871
375.3793,19306.8497,19437.1381
375.3793,19306.8497,19741.1953
375.3793,19306.8497,19793.7484
375.3793,19306.8497,20033.9911
375.3793,19306.8497,19981.4380
394.2507,20306.8497,20891.3470
394.2507,20306.8497,20725.7617
394.2507,20306.8497,20721.8192
394.2507,20306.8497,20709.9916
394.2507,20306.8497,20646.9115
413.4115,21306.8497,21575.9464
413.4115,21306.8497,21786.7862
413.4115,21306.8497,22196.0636
413.4115,21306.8497,21997.6261
413.4115,21306.8497,22113.3813
432.0543,22306.8497,23175.3931
432.0543,22306.8497,23296.3683
432.0543,22306.8497,23218.5985
432.0543,22306.8497,22777.9031
432.0543,22306.8497,22622.3635
450.8337,23306.8497,24006.8919
450.8337,23306.8497,23501.9582
450.8337,23306.8497,23042.1079
450.8337,23306.8497,22902.3494
450.8337,23306.8497,22379.3824
471.9574,24306.8497,22342.4650
471.9574,24306.8497,21983.7774
471.9574,24306.8497,22191.4386
471.9574,24306.8497,22087.6080
471.9574,24306.8497,22875.7769
492.4492,25306.8497,24031.5229
492.4492,25306.8497,24046.2963
492.4492,25306.8497,24110.3147
492.4492,25306.8497,23287.9245
492.4492,25306.8497,22524.6282
513.9685,26306.8497,23884.1161
513.9685,26306.8497,23570.5954
513.9685,26306.8497,24305.5703
