Position,Cost,Asset
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
19.8255,1000.0000,1000.0000
19.8255,1000.0000,1011.1023
19.8255,1000.0000,1020.2220
19.8255,1000.0000,1018.6360
19.8255,1000.0000,1022.2046
39.0711,2000.0000,2030.1348
39.0711,2000.0000,2036.7769
39.0711,2000.0000,2046.1540
39.0711,2000.0000,2032.4791
39.0711,2000.0000,2043.0283
58.0033,3000.0000,3063.7360
58.0033,3000.0000,3063.7360
58.0033,3000.0000,3074.7566
58.0033,3000.0000,3071.8564
58.0033,3000.0000,3085.7772
58.0033,3000.0000,3037.0544
58.0033,3000.0000,2990.0717
58.0033,3000.0000,2971.5107
58.0033,3000.0000,2997.6122
77.1165,4000.0000,4034.7343
77.1165,4000.0000,4043.9883
77.1165,4000.0000,3959.9313
77.1165,4000.0000,4020.0822
77.1165,4000.0000,4060.1827
96.1243,5000.0000,5057.0981
96.1243,5000.0000,4962.8963
96.1243,5000.0000,4970.5862
96.1243,5000.0000,4899.4543
96.1243,5000.0000,4849.4696
115.8171,6000.0000,5881.1907
115.8171,6000.0000,5720.2049
115.8171,6000.0000,5760.7409
115.8171,6000.0000,5758.4246
115.8171,6000.0000,5788.5370
135.8011,7000.0000,6795.4860
135.8011,7000.0000,6832.1523
135.8011,7000.0000,6784.6219
135.8011,7000.0000,6900.0529
135.8011,7000.0000,6991.0396
155.1547,8000.0000,8016.8418
155.1547,8000.0000,7920.6459
155.1547,8000.0000,8055.6305
155.1547,8000.0000,8040.1150
155.1547,8000.0000,8105.2800
174.3301,9000.0000,9091.3160
174.3301,9000.0000,9019.8407
174.3301,9000.0000,9082.5995
174.3301,9000.0000,9032.0438
174.3301,9000.0000,9070.3964
193.6538,10000.0000,10021.5840
193.6538,10000.0000,9903.4552
193.6538,10000.0000,9953.8052
193.6538,10000.0000,9895.7090
193.6538,10000.0000,9909.2648
213.3543,11000.0000,10829.8667
213.3543,11000.0000,10891.7395
213.3543,11000.0000,11124.2957
213.3543,11000.0000,11286.4450
232.2758,12000.0000,12275.7773
232.2758,12000.0000,12329.2007
232.2758,12000.0000,12389.5925
232.2758,12000.0000,12412.8200
232.2758,12000.0000,12408.1745
250.9465,13000.0000,13440.6931
250.9465,13000.0000,13387.9944
250.9465,13000.0000,13337.8051
250.9465,13000.0000,13244.9549
250.9465,13000.0000,13370.4281
269.8108,14000.0000,14302.6726
269.8108,14000.0000,14375.5215
269.8108,14000.0000,14432.1818
269.8108,14000.0000,14305.3707
269.8108,14000.0000,14402.5026
288.8150,15000.0000,15197.4464
288.8150,15000.0000,14925.9602
288.8150,15000.0000,15027.0455
288.8150,15000.0000,15220.5516
288.8150,15000.0000,15200.3345
308.2061,16000.0000,15894.1906
308.2061,16000.0000,15918.8471
308.2061,16000.0000,15761.6619
308.2061,16000.0000,15795.5646
308.2061,16000.0000,15968.1601
308.2061,16000.0000,16171.5761
308.2061,16000.0000,16242.4635
308.2061,16000.0000,15955.8318
308.2061,16000.0000,15777.0723
327.8564,17000.0000,16684.6104
327.8564,17000.0000,16628.8748
327.8564,17000.0000,16520.6822
327.8564,17000.0000,16441.9967
327.8564,17000.0000,16389.5397
348.0666,18000.0000,17222.3329
348.0666,18000.0000,17347.6369
348.0666,18000.0000,17267.5816
348.0666,18000.0000,17114.4323
348.0666,18000.0000,17177.0843
368.6173,19000.0000,17936.9184
368.6173,19000.0000,18143.3441
368.6173,19000.0000,18390.3177
368.6173,19000.0000,18135.9717
368.6173,19000.0000,18419.8070
388.8643,20000.0000,19206.0090
388.8643,20000.0000,19532.6550
388.8643,20000.0000,19824.3033
388.8643,20000.0000,19929.2966
388.8643,20000.0000,20135.3947
388.8643,20000.0000,20450.3748
388.8643,20000.0000,20504.8158
388.8643,20000.0000,20753.6890
388.8643,20000.0000,20699.2480
407.7358,21000.0000,21605.9206
407.7358,21000.0000,21434.6715
407.7358,21000.0000,21430.5942
407.7358,21000.0000,21418.3621
407.7358,21000.0000,21353.1244
426.8966,22000.0000,22279.7319
426.8966,22000.0000,22497.4492
426.8966,22000.0000,22920.0768
426.8966,22000.0000,22715.1664
426.8966,22000.0000,22834.6975
445.5394,23000.0000,23898.7319
445.5394,23000.0000,24023.4830
445.5394,23000.0000,23943.2859
445.5394,23000.0000,23488.8357
445.5394,23000.0000,23328.4416
464.3187,24000.0000,24724.9716
464.3187,24000.0000,24204.9346
464.3187,24000.0000,23731.3295
464.3187,24000.0000,23587.3907
464.3187,24000.0000,23048.7810
485.4425,25000.0000,22980.8480
485.4425,25000.0000,22611.9117
485.4425,25000.0000,22825.5064
485.4425,25000.0000,22718.7090
485.4425,25000.0000,23529.3980
505.9343,26000.0000,24689.5940
505.9343,26000.0000,24704.7721
505.9343,26000.0000,24770.5435
505.9343,26000.0000,23925.6332
505.9343,26000.0000,23141.4351
527.4536,27000.0000,24510.7671
527.4536,27000.0000,24189.0204
527.4536,27000.0000,24943.2790
