Position,Cost,Asset
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
10.0000,504.4000,504.4000
10.0000,504.4000,510.0000
10.0000,504.4000,514.6000
10.0000,504.4000,513.8000
10.0000,504.4000,515.6000
20.0000,1024.0000,1039.2000
20.0000,1024.0000,1042.6000
20.0000,1024.0000,1047.4000
20.0000,1024.0000,1040.4000
20.0000,1024.0000,1045.8000
30.0000,1552.2000,1584.6000
30.0000,1552.2000,1584.6000
30.0000,1552.2000,1590.3000
30.0000,1552.2000,1588.8000
30.0000,1552.2000,1596.0000
30.0000,1552.2000,1570.8000
30.0000,1552.2000,1546.5000
30.0000,1552.2000,1536.9000
30.0000,1552.2000,1550.4000
40.0000,2075.4000,2092.8000
40.0000,2075.4000,2097.6000
40.0000,2075.4000,2054.0000
40.0000,2075.4000,2085.2000
40.0000,2075.4000,2106.0000
50.0000,2601.5000,2630.5000
50.0000,2601.5000,2581.5000
50.0000,2601.5000,2585.5000
50.0000,2601.5000,2548.5000
50.0000,2601.5000,2522.5000
60.0000,3109.3000,3046.8000
60.0000,3109.3000,2963.4000
60.0000,3109.3000,2984.4000
60.0000,3109.3000,2983.2000
60.0000,3109.3000,2998.8000
70.0000,3609.7000,3502.8000
70.0000,3609.7000,3521.7000
70.0000,3609.7000,3497.2000
70.0000,3609.7000,3556.7000
70.0000,3609.7000,3603.6000
80.0000,4126.4000,4133.6000
80.0000,4126.4000,4084.0000
80.0000,4126.4000,4153.6000
80.0000,4126.4000,4145.6000
80.0000,4126.4000,4179.2000
90.0000,4647.9000,4693.5000
90.0000,4647.9000,4656.6000
90.0000,4647.9000,4689.0000
90.0000,4647.9000,4662.9000
90.0000,4647.9000,4682.7000
100.0000,5165.4000,5175.0000
100.0000,5165.4000,5114.0000
100.0000,5165.4000,5140.0000
100.0000,5165.4000,5110.0000
100.0000,5165.4000,5117.0000
110.0000,5673.0000,5583.6000
110.0000,5673.0000,5615.5000
110.0000,5673.0000,5735.4000
110.0000,5673.0000,5819.0000
120.0000,6201.5000,6342.0000
120.0000,6201.5000,6369.6000
120.0000,6201.5000,6400.8000
120.0000,6201.5000,6412.8000
120.0000,6201.5000,6410.4000
130.0000,6737.1000,6962.8000
130.0000,6737.1000,6935.5000
130.0000,6737.1000,6909.5000
130.0000,6737.1000,6861.4000
130.0000,6737.1000,6926.4000
140.0000,7267.2000,7421.4000
140.0000,7267.2000,7459.2000
140.0000,7267.2000,7488.6000
140.0000,7267.2000,7422.8000
140.0000,7267.2000,7473.2000
150.0000,7793.4000,7893.0000
150.0000,7793.4000,7752.0000
150.0000,7793.4000,7804.5000
150.0000,7793.4000,7905.0000
150.0000,7793.4000,7894.5000
160.0000,8309.1000,8251.2000
160.0000,8309.1000,8264.0000
160.0000,8309.1000,8182.4000
160.0000,8309.1000,8200.0000
160.0000,8309.1000,8289.6000
160.0000,8309.1000,8395.2000
160.0000,8309.1000,8432.0000
160.0000,8309.1000,8283.2000
160.0000,8309.1000,8190.4000
170.0000,8818.0000,8651.3000
170.0000,8818.0000,8622.4000
170.0000,8818.0000,8566.3000
170.0000,8818.0000,8525.5000
170.0000,8818.0000,8498.3000
180.0000,9312.8000,8906.4000
180.0000,9312.8000,8971.2000
180.0000,9312.8000,8929.8000
180.0000,9312.8000,8850.6000
180.0000,9312.8000,8883.0000
190.0000,9799.4000,9245.4000
190.0000,9799.4000,9351.8000
190.0000,9799.4000,9479.1000
190.0000,9799.4000,9348.0000
190.0000,9799.4000,9494.3000
200.0000,10293.3000,9878.0000
200.0000,10293.3000,10046.0000
200.0000,10293.3000,10196.0000
200.0000,10293.3000,10250.0000
200.0000,10293.3000,10356.0000
200.0000,10293.3000,10518.0000
200.0000,10293.3000,10546.0000
200.0000,10293.3000,10674.0000
200.0000,10293.3000,10646.0000
210.0000,10823.2000,11127.9000
210.0000,10823.2000,11039.7000
210.0000,10823.2000,11037.6000
210.0000,10823.2000,11031.3000
210.0000,10823.2000,10997.7000
220.0000,11345.1000,11481.8000
220.0000,11345.1000,11594.0000
220.0000,11345.1000,11811.8000
220.0000,11345.1000,11706.2000
220.0000,11345.1000,11767.8000
230.0000,11881.5000,12337.2000
230.0000,11881.5000,12401.6000
230.0000,11881.5000,12360.2000
230.0000,11881.5000,12125.6000
230.0000,11881.5000,12042.8000
240.0000,12414.0000,12780.0000
240.0000,12414.0000,12511.2000
240.0000,12414.0000,12266.4000
240.0000,12414.0000,12192.0000
240.0000,12414.0000,11913.6000
250.0000,12887.4000,11835.0000
250.0000,12887.4000,11645.0000
250.0000,12887.4000,11755.0000
250.0000,12887.4000,11700.0000
250.0000,12887.4000,12117.5000
260.0000,13375.4000,12688.0000
260.0000,13375.4000,12695.8000
260.0000,13375.4000,12729.6000
260.0000,13375.4000,12295.4000
260.0000,13375.4000,11892.4000
270.0000,13840.1000,12546.9000
270.0000,13840.1000,12382.2000
270.0000,13840.1000,12768.3000
